Epoch, Train Recon Loss, Test Recon Loss, R Loss train, R Loss test, Rendering Loss train, Rendering Loss test, Train Time, Test Time
191,0.002247,0.075216,0.005089,0.399838,0.002760,0.029970,33.53,28.41
192,0.002176,0.072710,0.003911,0.379715,0.002587,0.026150,33.46,28.43
193,0.002021,0.072801,0.002955,0.399430,0.002531,0.025316,33.59,28.41
194,0.002109,0.074762,0.003901,0.394763,0.002511,0.027005,33.43,28.44
195,0.002076,0.073506,0.004085,0.391785,0.002595,0.026910,33.39,28.43
196,0.002104,0.075608,0.003268,0.392871,0.002387,0.026649,33.48,28.65
197,0.002043,0.075081,0.003654,0.402243,0.002506,0.028878,33.41,28.39
198,0.002146,0.075455,0.003927,0.399288,0.002427,0.028821,33.56,28.35
199,0.002084,0.075475,0.004531,0.409673,0.002571,0.028980,33.51,28.39
200,0.002150,0.078544,0.004801,0.400958,0.002530,0.029300,33.45,28.37
201,0.002106,0.077382,0.003855,0.402564,0.002458,0.028600,33.50,28.38
202,0.002084,0.077605,0.003373,0.401323,0.002497,0.028951,33.39,28.39
203,0.002089,0.078139,0.003847,0.406660,0.002589,0.030348,33.56,28.34
204,0.002126,0.076074,0.003613,0.389799,0.002441,0.027553,33.43,28.42
205,0.002131,0.078658,0.004243,0.403598,0.002555,0.029520,33.52,28.35
206,0.002064,0.076334,0.002723,0.401675,0.002417,0.027141,33.71,28.39
207,0.002087,0.077604,0.003934,0.397520,0.002681,0.027386,33.54,28.36
208,0.002116,0.079045,0.003922,0.395356,0.002504,0.029736,33.57,28.38
209,0.002024,0.077146,0.003358,0.391677,0.002603,0.027877,33.66,28.42
210,0.002147,0.078020,0.003318,0.395827,0.002449,0.028013,33.49,28.40
211,0.002093,0.077877,0.003962,0.400935,0.002559,0.029129,33.55,28.37
212,0.002096,0.082990,0.003353,0.426723,0.002503,0.033541,33.47,28.42
213,0.002040,0.082327,0.002965,0.431298,0.002475,0.032758,33.50,28.40
214,0.002133,0.078698,0.005135,0.408194,0.002679,0.031313,33.45,28.39
215,0.002160,0.079958,0.004418,0.406748,0.002521,0.031918,33.46,28.40
216,0.002189,0.082358,0.003994,0.414738,0.002528,0.034368,33.64,28.41
217,0.001954,0.080389,0.002079,0.394027,0.002414,0.032721,33.57,28.45
218,0.001971,0.079325,0.003043,0.400498,0.002639,0.032328,33.54,28.38
219,0.002026,0.079423,0.003816,0.397895,0.002528,0.031329,33.51,28.41
220,0.002091,0.081412,0.002742,0.418251,0.002443,0.032161,33.55,28.37
221,0.002017,0.082480,0.002736,0.413372,0.002417,0.033239,33.44,28.38
222,0.001982,0.084173,0.002784,0.415555,0.002495,0.033365,33.46,28.37
223,0.002076,0.076929,0.003649,0.390322,0.002728,0.027813,33.50,28.37
224,0.002222,0.076747,0.003719,0.385669,0.002566,0.027264,33.46,28.34
225,0.002107,0.075564,0.003360,0.383938,0.002450,0.025134,33.48,28.59
226,0.002056,0.077155,0.003041,0.384555,0.002378,0.025432,33.36,28.38
227,0.002010,0.077128,0.003552,0.381949,0.002564,0.024738,33.53,28.39
228,0.001947,0.079771,0.002086,0.401435,0.002406,0.029311,33.48,28.35
229,0.001988,0.075666,0.002673,0.392618,0.002553,0.024567,33.52,28.36
230,0.001988,0.076757,0.002091,0.399791,0.002453,0.026075,33.56,28.40
231,0.001995,0.075977,0.003050,0.371067,0.002591,0.026636,33.51,28.34
232,0.002113,0.077003,0.004197,0.375955,0.002662,0.027730,33.61,28.37
233,0.002111,0.073955,0.002421,0.367998,0.002376,0.025549,33.55,28.41
234,0.002069,0.076141,0.003904,0.392680,0.002752,0.027677,33.57,28.37
235,0.002150,0.074278,0.004204,0.380102,0.002778,0.024104,33.82,28.40
236,0.002149,0.073395,0.002883,0.376968,0.002388,0.025953,33.59,28.39
